file	key	original	translation	status	context	entities	tone
Language/english.csv	enable_pause_in_background	Pause game if window is not focused	Призупиняти гру, коли вікно неактивне	fuzzy	SETTINGS	-	-
Language/english.csv	set_scroll_speed	Scroll	Прокручування	fuzzy	SETTINGS	-	-
Language/english.csv	set_zoom_speed	Zoom	Масштаб	fuzzy	SETTINGS	-	-
Language/english.csv	set_master_volume	Master	Загальна	fuzzy	SETTINGS	-	-
Language/english.csv	set_music_volume	Music	Музика	fuzzy	SETTINGS	-	-
Language/english.csv	set_audio_volume	SFX	Ефекти	fuzzy	SETTINGS	-	-
Language/english.csv	set_speech_volume	Speech	Мовлення	fuzzy	SETTINGS	-	-
Language/english.csv	serial_error	CRC check failed. Please reinstall the game.	Помилка перевірки CRC. Перевстановіть гру.	fuzzy	SETTINGS	-	technical|command
Language/english.csv	screen_resolution	Screen Resolution	Роздільна здатність	fuzzy	SETTINGS	-	-
Language/english.csv	screen_hertz	Hz	Гц	fuzzy	SETTINGS	-	-
Language/english.csv	resolution_change_title	Change Resolution	Змінити роздільну здатність	fuzzy	SETTINGS	-	-
Language/english.csv	resolution_change_text	Are you sure you want to change the screen resolution?	Ви впевнені, що хочете змінити роздільну здатність екрана?	fuzzy	SETTINGS	-	technical
Language/english.csv	quick_save_saved	Quicksave completed	Швидке збереження виконано	fuzzy	SETTINGS	-	technical
Language/english.csv	quick_save	Quick Save	Швидко зберегти	fuzzy	SETTINGS	-	command
Language/english.csv	quick_load_title	Quick Load	Швидко завантажити	fuzzy	SETTINGS	-	command
Language/english.csv	quick_load_text	Are you sure you want to load the Quick Save file?	Ви впевнені, що хочете завантажити файл швидкого збереження?	fuzzy	SETTINGS	-	technical
Language/english.csv	any	Any	Будь-які	fuzzy	SETTINGS	-	-
Language/english.csv	options	Options	Налаштування	fuzzy	SETTINGS	-	-
Language/english.csv	players	Players	Гравці	fuzzy	SETTINGS	-	-
Language/english.csv	options_panel	Options	Налаштування	fuzzy	SETTINGS	-	-
Language/english.csv	select_group	Select control group	Виберіть групу керування	fuzzy	SETTINGS	-	command
Language/english.csv	mission_panel	Mission Overview	Огляд місії	fuzzy	SETTINGS	-	-
Language/english.csv	color_panel	Color Picker	Вибір кольору	fuzzy	SETTINGS	-	-
Language/english.csv	editor_settings_panel	Settings	Налаштування	fuzzy	SETTINGS	-	-
Language/english.csv	new_scenario_panel	New Scenario	Новий сценарій	fuzzy	SETTINGS	-	-
Language/english.csv	colors_panel	Color Picker	Вибір кольору	fuzzy	SETTINGS	-	-
Language/english.csv	tab_editor_0	Settings	Налаштування	fuzzy	SETTINGS	-	-
Language/english.csv	tab_editor_1	Players	Гравці	fuzzy	SETTINGS	-	-
Language/english.csv	tab_editor_2	Objectives	Цілі	fuzzy	SETTINGS	-	-
Language/english.csv	tab_editor_3	Triggers	Тригери	fuzzy	SETTINGS	-	-
Language/english.csv	tab_editor_4	AI	ШІ	fuzzy	SETTINGS	-	technical
Language/english.csv	enable_allow_focus_override	Manual movement cancels focus	Ручний рух скасовує фокус	fuzzy	SETTINGS	-	technical
Language/english.csv	enable_free_camera	Allow free camera tilting	Дозволити вільний нахил камери	fuzzy	SETTINGS	-	technical
Language/english.csv	enable_full_screen	Full screen mode	Повноекранний режим	fuzzy	SETTINGS	-	technical
Language/english.csv	enable_windowed_mode	Windowed mode	Віконний режим	fuzzy	SETTINGS	-	technical
Language/english.csv	enable_grid_hotkeys	Grid hotkeys	Сітка гарячих клавіш	fuzzy	SETTINGS	-	technical
Language/english.csv	enable_large_ui	Large UI scale	Збільшений інтерфейс	fuzzy	SETTINGS	-	technical
Language/english.csv	enable_vertical_sync	Enable vertical sync	Увімкнути вертикальну синхронізацію	fuzzy	SETTINGS	-	technical
Language/english.csv	completed	Completed	Виконано	fuzzy	SETTINGS	-	technical
Language/english.csv	file_name	Filename	Назва файлу	fuzzy	SETTINGS	-	technical
Language/english.csv	file_date	Date	Дата	fuzzy	SETTINGS	-	technical
Language/english.csv	objectives_title	Objective Title	Назва цілі	fuzzy	SETTINGS	-	technical
Language/english.csv	objectives_details	Objective Details	Опис цілі	fuzzy	SETTINGS	-	technical
Language/english.csv	triggers	Triggers	Тригери	fuzzy	SETTINGS	-	technical
Language/english.csv	conditions	Conditions	Умови	fuzzy	SETTINGS	-	technical
Language/english.csv	effects	Effects	Ефекти	fuzzy	SETTINGS	-	technical
Language/english.csv	trigger_name	Trigger Name	Назва тригера	fuzzy	SETTINGS	-	technical
Language/english.csv	trigger_event	Trigger Event	Подія тригера	fuzzy	SETTINGS	-	technical
Language/english.csv	objective_status_open	Open	Відкрита	fuzzy	SETTINGS	-	technical
Language/english.csv	objective_status_completed	Completed	Виконана	fuzzy	SETTINGS	-	technical
Language/english.csv	objective_status_failed	Failed	Провалена	fuzzy	SETTINGS	-	-
Language/english.csv	outcome_unfinished	Unfinished	Не завершено	fuzzy	SETTINGS	-	-
Language/english.csv	outcome_victory	Victory	Перемога	fuzzy	SETTINGS	-	-
Language/english.csv	outcome_draw	Draw	Нічия	fuzzy	SETTINGS	-	-
Language/english.csv	outcome_defeat	Defeat	Поразка	fuzzy	SETTINGS	-	-
Language/english.csv	ai_team	AI Team	Команда ШІ	fuzzy	SETTINGS	-	-
Language/english.csv	enable_overwrite_previous_briefings	Overwrite previous briefings	Перезаписувати попередні брифінги	fuzzy	SETTINGS	-	technical
Language/english.csv	unit_definitions	Unit Definitions	Визначення юнітів	fuzzy	SETTINGS	-	technical
Language/english.csv	unit_category	Category	Категорія	fuzzy	SETTINGS	-	-
Language/english.csv	unit_class	Class	Клас	fuzzy	SETTINGS	-	-
Language/english.csv	unit_type	Type	Тип	fuzzy	SETTINGS	-	-
Language/english.csv	enable	Enable	Увімкнути	fuzzy	SETTINGS	-	command
Language/english.csv	disable	Disable	Вимкнути	fuzzy	SETTINGS	-	command
Language/english.csv	members	Members	Бійці	fuzzy	SETTINGS	-	-
Language/english.csv	no_unit_selected	Nothing selected	Нічого не вибрано	fuzzy	SETTINGS	-	technical
Language/english.csv	enter_filename	enter file name	Введіть назву файла	fuzzy	SETTINGS	-	command
Language/english.csv	for_everyone	For everyone	Для всіх	fuzzy	SETTINGS	-	-
Language/english.csv	set_main_timer	Display as main timer	Показувати як головний таймер	fuzzy	SETTINGS	-	-
Language/english.csv	construct_unit	Request unit deployment	Запросити розгортання підрозділу	fuzzy	SETTINGS	-	command
Language/english.csv	enable_unit_tooltips	Show tooltip for highlighted unit	Показувати підказку вибраного підрозділу	fuzzy	SETTINGS	-	-
Language/english.csv	quality_lowest	Lowest	Найнижча	fuzzy	SETTINGS	-	-
Language/english.csv	quality_low	Low	Низька	fuzzy	SETTINGS	-	-
Language/english.csv	quality_medium	Medium	Середня	fuzzy	SETTINGS	-	-
Language/english.csv	quality_high	High	Висока	fuzzy	SETTINGS	-	-
Language/english.csv	quality_highest	Highest	Найвища	fuzzy	SETTINGS	-	-
Language/english.csv	render_quality	Graphics quality	Якість графіки	fuzzy	SETTINGS	-	-
Language/english.csv	variable_name	My Variable	Моя змінна	fuzzy	SETTINGS	-	-
Language/english.csv	set_brush_size	Brush size	Розмір пензля	fuzzy	SETTINGS	-	-
Language/english.csv	variabletypes_scenario	Scenario variable	Змінна сценарію	fuzzy	SETTINGS	-	technical
Language/english.csv	variabletypes_campaign	Campaign variable	Змінна кампанії	fuzzy	SETTINGS	-	technical
Language/english.csv	objective_count_units	units	підрозділів	fuzzy	SETTINGS	-	-
Language/english.csv	key_control	CTRL	CTRL	fuzzy	SETTINGS	-	technical
Language/english.csv	key_alt	ALT	ALT	fuzzy	SETTINGS	-	technical
Language/english.csv	key_shift	SHIFT	SHIFT	fuzzy	SETTINGS	-	technical
Language/english.csv	requires	Requires:	Потрібно:	fuzzy	SETTINGS	-	technical
Language/english.csv	paused_mode	PLAYBACK SPEED: PAUSED	ШВИДКІСТЬ ВІДТВОРЕННЯ: ПАУЗА	fuzzy	SETTINGS	-	technical
Language/english.csv	slow_mo_mode	PLAYBACK SPEED: SLOW MOTION 	ШВИДКІСТЬ ВІДТВОРЕННЯ: УПОВІЛЬНЕНО 	fuzzy	SETTINGS	-	technical
Language/english.csv	new_objective_enabled	New objective	Нова ціль	fuzzy	SETTINGS	-	technical
Language/english.csv	new_threat_activated	New threat	Нова загроза	fuzzy	SETTINGS	-	technical|urgent
Language/english.csv	population_points_type_supply	Supplies	Постачання	unresolved	SETTINGS	supply	-
Language/english.csv	population_points_type_support	War Support	Військова підтримка	unresolved	SETTINGS	war_support	-
Language/english.csv	game_paused	Game paused	Гру призупинено	fuzzy	SETTINGS	-	technical
Language/english.csv	singleton_unit_deployment_limit	You can only deploy one unit of this type.	Можна розгорнути лише один підрозділ цього типу.	fuzzy	SETTINGS	-	technical
Language/english.csv	tooltip_campaign_save	Campaign saved game	Збереження кампанії	fuzzy	SETTINGS	-	-
Language/english.csv	tooltip_scenario_save	Scenario saved game	Збереження сценарію	fuzzy	SETTINGS	-	-
Language/english.csv	confirm_delete_save_title	Delete Saved Game	Видалити збереження	fuzzy	SETTINGS	-	command|technical
Language/english.csv	confirm_delete_save_descr	Are you sure you want to delete this saved game?	Ви впевнені, що хочете видалити це збереження?	fuzzy	SETTINGS	-	technical
Language/english.csv	confirm_load_savegame_title	Load Game	Завантажити гру	fuzzy	SETTINGS	-	command|technical
Language/english.csv	confirm_load_savegame_descr	Your current game has not been saved. Are you sure you want to load the selected saved game?	Поточну гру не збережено. Ви впевнені, що хочете завантажити вибране збереження?	fuzzy	SETTINGS	-	technical
Language/english.csv	savegame_type_scenario	Scenario	Сценарій	fuzzy	SETTINGS	-	-
Language/english.csv	save_trigger_checkpoint	Checkpoint	Контрольна точка	fuzzy	SETTINGS	-	technical
Language/english.csv	save_trigger_quicksave	Quicksave	Швидке збереження	fuzzy	SETTINGS	-	technical
Language/english.csv	save_trigger_autosave	Autosave	Автозбереження	fuzzy	SETTINGS	-	technical
Language/english.csv	save_trigger_test	Test	Тест	fuzzy	SETTINGS	-	technical
Language/english.csv	savegame_type_campaign	Campaign	Кампанія	fuzzy	SETTINGS	-	-
Language/english.csv	game_saved_title	Game Saved	Гру збережено	fuzzy	SETTINGS	-	technical
Language/english.csv	game_saved_descr	The current game has been saved.	Поточну гру збережено.	fuzzy	SETTINGS	-	technical
Language/english.csv	enable_attack_move	Attack move	Рух з атакою	unresolved	EDITOR	attack_move	command
Language/english.csv	enable_patrol	Patrol loop	Циклічне патрулювання	unresolved	EDITOR	patrol_loop	command
Language/english.csv	enable_capture_points	Take nearby Capture Points	Захоплювати сусідні точки захоплення	unresolved	EDITOR	capture_point	command
Language/english.csv	enable_stick_together	Stick together	Триматися разом	fuzzy	EDITOR	-	command
Language/english.csv	enable_instant_focus_camera	Instantly jump camera to location	Миттєво переміщувати камеру до місця	fuzzy	EDITOR	-	technical
Language/english.csv	enable_warp_unit_spawn	Instantly warp new unit on location	Миттєво переміщувати нового юніта до місця	fuzzy	EDITOR	-	technical
Language/english.csv	enable_allow_reasearch	Allow researching new technologies	Дозволити дослідження нових технологій	fuzzy	EDITOR	-	technical
Language/english.csv	enable_play_battle_ambient	Enable distant battle sounds	Увімкнути віддалені звуки бою	fuzzy	EDITOR	-	technical
Language/english.csv	enable_share_allies_los	Allied players share LOS	Спільна ЛПВ союзників	fuzzy	EDITOR	los	technical
Language/english.csv	enable_research_all_units	Unlock all unit types	Відкрити всі типи юнітів	fuzzy	EDITOR	-	technical
Language/english.csv	enable_can_capture_capturables	Can this player capture capturable units?	Чи може цей гравець захоплювати доступні юніти?	fuzzy	EDITOR	-	-
Language/english.csv	enable_no_change	No change	Без змін	fuzzy	EDITOR	-	-
Language/english.csv	button_add_alliance	Add Player	Додати гравця	fuzzy	EDITOR	-	command
Language/english.csv	folder_name	Folder Name	Назва папки	fuzzy	EDITOR	-	-
Language/english.csv	sound_file_name	Sound File Name	Назва звукового файлу	fuzzy	EDITOR	-	-
Language/english.csv	button_select_unit	Select Unit	Вибрати юніта	fuzzy	EDITOR	-	command
Language/english.csv	button_select_location	Select Location	Вибрати місце	fuzzy	EDITOR	-	command
Language/english.csv	button_select_location_radius	Select location & radius	Вибрати місце й радіус	fuzzy	EDITOR	-	command
Language/english.csv	button_select_location_facing	Select location & facing	Вибрати місце й напрямок	fuzzy	EDITOR	-	command
Language/english.csv	blackboard_empty	<insert blackboard name>	<вставте назву дошки даних>	fuzzy	EDITOR	-	technical
Language/english.csv	decorations_group_all	All	Усі	fuzzy	EDITOR	-	-
Language/english.csv	cursor_mode	Cursor Mode	Режим курсора	fuzzy	EDITOR	-	-
Language/english.csv	editor_cursor_mode_normal	Default	Типовий	fuzzy	EDITOR	-	-
Language/english.csv	editor_cursor_mode_deploy	Deploy	Розмістити	fuzzy	EDITOR	-	command
Language/english.csv	editor_cursor_mode_terrain	Terrain	Ландшафт	fuzzy	EDITOR	-	-
Language/english.csv	editor_cursor_mode_unitSelect	Select unit	Вибрати юніта	fuzzy	EDITOR	-	command
Language/english.csv	editor_cursor_mode_locationSelect	Select location	Вибрати місце	fuzzy	EDITOR	-	command
Language/english.csv	editor_cursor_mode_radiusSelect	Select location & radius	Вибрати місце й радіус	fuzzy	EDITOR	-	command
Language/english.csv	editor_cursor_mode_facingSelect	Select location & facing	Вибрати місце й напрямок	fuzzy	EDITOR	-	command
Language/english.csv	editor_cursor_mode_unitTypeSelect	Select unit type	Вибрати тип юніта	fuzzy	EDITOR	-	command
Language/english.csv	editor_cursor_mode_aiTeamSet	Set unit AI team	Задати юніту команду ШІ	fuzzy	EDITOR	-	command|technical
Language/english.csv	editor_cursor_mode_attachUnit	Attach unit to master	Приєднати юніта до головного	fuzzy	EDITOR	-	command|technical
Language/english.csv	dialog_change_unittype_title	Change Unit Type?	Змінити тип юніта?	fuzzy	EDITOR	-	technical
Language/english.csv	dialog_change_unittype_descr	Do you want to change the unit type of the selected unit?	Змінити тип вибраного юніта?	fuzzy	EDITOR	-	technical
Language/english.csv	dialog_change_ownership_title	Change Unit Owner?	Змінити власника юніта?	fuzzy	EDITOR	-	technical
Language/english.csv	dialog_change_ownership_descr	Do you want to change the owner of the selected unit?	Змінити власника вибраного юніта?	fuzzy	EDITOR	-	technical
Language/english.csv	ai_task_none	None	Немає	fuzzy	EDITOR	-	-
Language/english.csv	enable_wait_until_scroll_completes	Complete camera scroll before displaying briefing	Завершити рух камери перед показом брифінгу	fuzzy	EDITOR	-	command|technical
Language/english.csv	alliance_control_human	Human	Людина	fuzzy	EDITOR	-	-
Language/english.csv	alliance_control_ai	AI	ШІ	fuzzy	EDITOR	-	technical
Language/english.csv	button_ok	OK	OK	fuzzy	EDITOR	-	-
Language/english.csv	button_yes	Yes	Так	fuzzy	EDITOR	-	-
Language/english.csv	button_no	No	Ні	fuzzy	EDITOR	-	-
Language/english.csv	button_confirm	Confirm	Підтвердити	fuzzy	EDITOR	-	command
Language/english.csv	button_cancel	Cancel	Скасувати	fuzzy	EDITOR	-	command
Language/english.csv	button_purchase	Purchase	Придбати	fuzzy	EDITOR	-	command
Language/english.csv	button_research	Research	Дослідити	fuzzy	EDITOR	-	command
Language/english.csv	button_close	Close	Закрити	fuzzy	EDITOR	-	command
Language/english.csv	button_continue	Continue	Продовжити	fuzzy	EDITOR	-	command
Language/english.csv	button_back	Back	Назад	fuzzy	EDITOR	-	command
Language/english.csv	button_launch	Launch	Запустити	fuzzy	EDITOR	-	command
Language/english.csv	button_quit_menu	Exit to Menu	Вийти в меню	fuzzy	EDITOR	-	command
Language/english.csv	button_quit_os	Exit to Desktop	Вийти на робочий стіл	fuzzy	EDITOR	-	command
Language/english.csv	button_quit_editor	Exit to Editor	Вийти в редактор	fuzzy	EDITOR	-	command
Language/english.csv	button_save	Save	Зберегти	fuzzy	EDITOR	-	command
Language/english.csv	button_load	Load	Завантажити	fuzzy	EDITOR	-	command
Language/english.csv	button_create	Create	Створити	fuzzy	EDITOR	-	command
Language/english.csv	button_add	Add	Додати	fuzzy	EDITOR	-	command
Language/english.csv	button_remove	Remove	Видалити	fuzzy	EDITOR	-	command
Language/english.csv	button_clone	Clone	Клонувати	fuzzy	EDITOR	-	command
Language/english.csv	button_campaigns	New Campaign	Нова кампанія	fuzzy	EDITOR	-	-
Language/english.csv	button_options	Options	Налаштування	fuzzy	EDITOR	-	-
Language/english.csv	button_scenarios	Scenarios	Сценарії	fuzzy	EDITOR	-	-
Language/english.csv	button_editor	Editor	Редактор	fuzzy	EDITOR	-	-
Language/english.csv	button_wiki	Federal Archives	Федеральний архів	unresolved	EDITOR	federal_archives	propaganda
Language/english.csv	button_exit	Exit	Вийти	fuzzy	EDITOR	-	command
Language/english.csv	button_quit	Quit	Завершити	fuzzy	EDITOR	-	command
Language/english.csv	button_select_unittype	Select Unit Type	Виберіть тип підрозділу	fuzzy	EDITOR	-	command
Language/english.csv	button_launch_campaign_mission	To war!	До бою!	fuzzy	EDITOR	-	propaganda|excited
Language/english.csv	button_go_back	Go back	Назад	fuzzy	EDITOR	-	command
Language/english.csv	button_video_rewind	Restart broadcast	Перезапустити трансляцію	fuzzy	EDITOR	-	command
Language/english.csv	button_load#2	Load	Завантажити	fuzzy	EDITOR	-	command
Language/english.csv	button_delete_save	Delete saved game	Видалити збереження	fuzzy	EDITOR	-	command
Language/english.csv	button_is_saving	Saving...	Збереження...	fuzzy	EDITOR	-	technical
Language/english.csv	button_abort_scenario	Abort	Перервати	fuzzy	EDITOR	-	command
Language/english.csv	button_restart_scenario	Restart	Перезапустити	fuzzy	EDITOR	-	command
Language/english.csv	button_load_checkpoint	Load Autosave	Завантажити автозбереження	fuzzy	EDITOR	-	command
Language/english.csv	tooltip_abort_to_menu	Return to the main menu	Поверніться до головного меню	fuzzy	EDITOR	-	command
Language/english.csv	tooltip_restart_scenario	Restart the battle	Перезапустіть бій	fuzzy	EDITOR	-	command
Language/english.csv	tooltip_load_checkpoint	Load the last Autosave	Завантажте останнє автозбереження	fuzzy	EDITOR	-	command
Language/english.csv	press_hotkey	<Press hotkey>	<Натисніть клавішу>	fuzzy	EDITOR	-	command|technical
Language/english.csv	hotkeys	Hotkeys	Гарячі клавіші	fuzzy	EDITOR	-	technical
Language/english.csv	hotkey_optionsdialog	Options Panel	Панель налаштувань	fuzzy	EDITOR	-	technical
Language/english.csv	hotkey_quicksave	Quick Save	Швидке збереження	fuzzy	EDITOR	-	command|technical
Language/english.csv	hotkey_quickload	Quick Load	Швидке завантаження	fuzzy	EDITOR	-	command|technical
Language/english.csv	hotkey_unitnext	Select next Unit	Вибрати наступний підрозділ	fuzzy	EDITOR	-	command|technical
Language/english.csv	hotkey_unitprev	Select previous Unit	Вибрати попередній підрозділ	fuzzy	EDITOR	-	command|technical
Language/english.csv	hotkey_unitnextfocused	Next focused unit	Наступний підрозділ у фокусі	fuzzy	EDITOR	-	command|technical
Language/english.csv	hotkey_unitprevfocused	Previous focused Unit	Попередній підрозділ у фокусі	fuzzy	EDITOR	-	command|technical
